,AUC,MCC,F1,ACC,Precision,Sensitivity,Specificity
StackDILI,0.9736,0.8304,0.901,0.9159,0.865,0.9402,0.8993
DGUDILI_ftv6_dv1,0.9196,0.6682,0.8106,0.8252,0.7253,0.9185,0.7612
DGUDILI_E2E_dv1,0.9219,0.727,0.8426,0.8628,0.7905,0.9022,0.8358
DGUDILI_E2E_dv4,0.9006124269954575,0.6521745191796146,0.801007556675063,0.8252212389380531,0.7464788732394366,0.8641304347826086,0.7985074626865671
