,AUC,MCC,F1,ACC,Precision,Sensitivity,Specificity
StackDILI,0.9736,0.8304,0.901,0.9159,0.865,0.9402,0.8993
DGUDILI_LR_cls,0.7307349123945489,0.32818166219498524,0.6455696202531646,0.6283185840707964,0.5275862068965518,0.8315217391304348,0.48880597014925375
DGUDILI_MLP_cls,0.7333711875405581,0.3658565932362336,0.6576576576576577,0.6637168141592921,0.5615384615384615,0.7934782608695652,0.5746268656716418
DGUDILI_RF_cls,0.7825681375730046,0.45020451517712523,0.6986301369863014,0.7079646017699115,0.6023622047244095,0.8315217391304348,0.6231343283582089
DGUDILI_XGB_cls,0.7625324464633354,0.4264370696807404,0.6864988558352403,0.6969026548672567,0.5928853754940712,0.8152173913043478,0.6156716417910447
