,AUC,MCC,F1,ACC,Precision,Sensitivity,Specificity
StackDILI,0.8811952465931214,0.5514346700574279,0.7469287469287469,0.7721238938053098,0.6816143497757847,0.8260869565217391,0.7350746268656716
DGUDILI_2026,0.6983695652173912,0.2807432131908133,0.6200873362445415,0.6150442477876106,0.5182481751824818,0.7717391304347826,0.5074626865671642
