,AUC,MCC,F1,ACC,Precision,Sensitivity,Specificity
StackDILI,0.8636234587929916,0.5130553086813217,0.7236180904522613,0.7566371681415929,0.6728971962616822,0.782608695652174,0.7388059701492538
DGUDILI_LR_cls,0.6634287800129787,0.23392438434909896,0.611764705882353,0.5619469026548672,0.4785276073619632,0.8478260869565217,0.3656716417910448
DGUDILI_MLP_cls,0.6542220960415315,0.24705184077158057,0.6171875,0.5663716814159292,0.4817073170731707,0.8586956521739131,0.3656716417910448
DGUDILI_RF_cls,0.6990387735236859,0.2945961714788768,0.6277056277056277,0.6194690265486725,0.5215827338129496,0.7880434782608695,0.503731343283582
DGUDILI_XGB_cls,0.6708509085009735,0.2812273347348266,0.6244725738396625,0.6061946902654868,0.5103448275862069,0.8043478260869565,0.4701492537313433
