env,model,AUC,MCC,F1,ACC,Precision,Sensitivity,Specificity
env1_orig,StackDILI,0.9736,0.8304,0.901,0.9159,0.865,0.9402,0.8993
env1_orig,DGUDILI_LR_cls,0.7250162232316679,0.3059975013099859,0.6357894736842106,0.6172566371681416,0.5189003436426117,0.8206521739130435,0.4776119402985074
env1_orig,DGUDILI_MLP_cls,0.7256854315379624,0.2652265929445485,0.6227544910179641,0.581858407079646,0.4921135646687697,0.8478260869565217,0.3992537313432835
env1_orig,DGUDILI_RF_cls,0.7483675373134328,0.3932511356262167,0.672566371681416,0.672566371681416,0.5671641791044776,0.8260869565217391,0.5671641791044776
env1_orig,DGUDILI_XGB_cls,0.7346082089552239,0.3349302436192972,0.6483050847457628,0.6327433628318584,0.53125,0.8315217391304348,0.4962686567164179
env1_clean,StackDILI,0.8811952465931214,0.5514346700574279,0.7469287469287469,0.7721238938053098,0.6816143497757847,0.8260869565217391,0.7350746268656716
env1_clean,DGUDILI_LR_cls,0.6737710902011681,0.253864332077541,0.587378640776699,0.6238938053097345,0.5307017543859649,0.657608695652174,0.6007462686567164
env1_clean,DGUDILI_MLP_cls,0.6724935107073329,0.2571879313950387,0.5938242280285035,0.6216814159292036,0.5274261603375527,0.6793478260869565,0.582089552238806
env1_clean,DGUDILI_RF_cls,0.6796925697598962,0.2519234752126366,0.5879518072289157,0.6216814159292036,0.5281385281385281,0.6630434782608695,0.5932835820895522
env1_clean,DGUDILI_XGB_cls,0.6714592796885139,0.253864332077541,0.587378640776699,0.6238938053097345,0.5307017543859649,0.657608695652174,0.6007462686567164
env2_orig,StackDILI,0.8611168522899006,0.536507897784563,0.77605785200328,0.768108108108108,0.7709087237014705,0.7825,0.7527340823970038
env2_orig,DGUDILI_2026,0.681969914251922,0.2819022119129611,0.6526534590108712,0.641081081081081,0.6502739256251686,0.6565021929824562,0.624681647940075
env2_orig,DGUDILI_2026_std,0.0451471655452635,0.0627640582751457,0.033839714571035,0.0315371938287888,0.0323901309317862,0.0461793382765951,0.0492402007954948
env2_clean,StackDILI,0.7989084678661738,0.4481157621796069,0.7341627116132383,0.7229387999401465,0.7205595486814051,0.7526247848537004,0.6920061728395062
env2_clean,DGUDILI_2026,0.6622689700601347,0.2668812744855037,0.6411991564219753,0.6326761933263505,0.6406963907038709,0.6464859437751004,0.6183641975308642
env2_clean,DGUDILI_2026_std,0.0460273900973483,0.0743692492468447,0.0413871532830998,0.0371572300354485,0.0366381157146927,0.0715844199162317,0.0757670160286016
